quantity_per_item,items
137.0,1
230.0,1
220.0,25
350.0,69
163.0,12
92.0,330
103.0,7
248.0,4
42.0,98628
326.0,11
76.0,440
87.0,39
162.0,37
328.0,1
23.0,2299
176.0,59
228.0,22
21.0,89261
588.0,3
160.0,265
286.0,5
190.0,17
1680.0,5
39.0,590
285.0,3
840.0,92
191.0,1
784.0,7
565.0,9
158.0,13
62.0,435
211.0,1
256.0,100
113.0,19
730.0,1
100.0,113811
125.0,79
11.0,12302
58.0,2249
448.0,57
480.0,4
390.0,4
172.0,14
249.0,4
142.0,17
15.0,6357
356.0,1
352.0,6
9.0,5768
132.0,161
146.0,9
237.0,3
197.0,2
164.0,401
284.0,10
138.0,15
332.0,1
8400.0,1
268.0,6
449.0,1
82.0,121
186.0,90
567.0,4
216.0,29
360.0,115
432.0,2
120.0,6712
428.0,1
70.0,5435
98.0,1524
148.0,37
232.0,31
118.0,74
223.0,2
177.0,3
161.0,7
72.0,3598
64.0,1690
83.0,188
392.0,66
370.0,2
91.0,970
1225.0,2
1000.0,14
6.0,7027
19.0,2149
66.0,310
276.0,22
56.0,39854386
175.0,22
225.0,32
10.0,16699
400.0,116
38.0,1636
122.0,31
59.0,124
26.0,2079
147.0,4
450.0,10
1568.0,1
2800.0,1
90.0,38703
111.0,3
218.0,5
198.0,7
258.0,9
60.0,93991
78.0,117
189.0,2
126.0,3282
296.0,5
28.0,88728559
68.0,582
700.0,7
564.0,3
101.0,13
106.0,43
93.0,67
133.0,18
47.0,418
204.0,22
262.0,10
378.0,3
281.0,1
114.0,62
672.0,6
3000.0,2
476.0,5
468.0,3
875.0,1
7.0,23443477
108.0,372
105.0,185
117.0,6
30.0,74560
156.0,204
563.0,6
57.0,499
282.0,9
127.0,2
1.0,104716
116.0,141
107.0,5
264.0,10
89.0,25
5.0,18311
27.0,706
500.0,153
344.0,2
110.0,45
504.0,82
800.0,1
169.0,9
61.0,184
236.0,4
556.0,4
152.0,151
444.0,1
3.0,51971
159.0,8
372.0,4
568.0,5
240.0,279
81.0,50
214.0,3
8.0,33621
174.0,13
24.0,14090
250.0,100
155.0,5
604.0,1
272.0,16
194.0,6
35.0,8226
99.0,7
334.0,1
283.0,1
130.0,110
312.0,11
136.0,135
320.0,2
143.0,1
46.0,1087
149.0,1
48.0,4999
280.0,1032
365.0,7
210.0,249
171.0,12
180.0,4212
104.0,186
185.0,5
32.0,10094
88.0,715
192.0,116
86.0,389
54.0,599
848.0,1
2250.0,1
300.0,1500
85.0,212
55.0,509
213.0,5
141.0,3
690.0,3
181.0,2
121.0,7
224.0,7017
40.0,14262
150.0,1515
520.0,1
12.0,29269
18.0,4959
528.0,3
50.0,4852
63.0,1259
84.0,4838445
330.0,11
560.0,16
123.0,7
294.0,26
74.0,236
43.0,540
94.0,170
212.0,8
456.0,6
77.0,213
1400.0,7
1460.0,1
112.0,703969
29.0,2010
22.0,1929
168.0,180793
4.0,118403
41.0,532
128.0,603
115.0,8
37.0,648
182.0,57
14.0,1280572
71.0,76
288.0,24
13.0,2217
420.0,70
16.0,31606
252.0,9593
65.0,325
178.0,13
273.0,4
846.0,1
80.0,1971
308.0,30
144.0,358
188.0,2
25.0,3159
34.0,1011
600.0,6
36.0,8474
242.0,8
226.0,12
166.0,1
75.0,650
200.0,9007
45.0,2004
124.0,61
183.0,13
33.0,1089
109.0,12
17.0,3082
398.0,3
298.0,3
119.0,30
336.0,1304
140.0,6932
2100.0,6
73.0,59
44.0,2398
184.0,418
290.0,4
154.0,19
145.0,2
79.0,66
51.0,652
134.0,25
900.0,1
31.0,1777
270.0,376
2.0,27587
102.0,80
196.0,1562
49.0,2348
97.0,6
96.0,1375
208.0,31
260.0,8
153.0,4
376.0,1
67.0,105
364.0,66
287.0,5
95.0,11
540.0,2
462.0,1
165.0,10
2520.0,1
222.0,2
501.0,1
69.0,55
238.0,3
340.0,14
566.0,1
52.0,1267
135.0,98
170.0,26
20.0,28242
254.0,6
53.0,428
424.0,4
